"","0.05","0.1","0.15","0.2","0.25","0.3","0.35","0.4","0.45","0.5","0.55","0.6","0.65","centrality"
"SPTBN4",0,0,0,0,1,2,4,8,14,33,53,74,107,12.7546858261938
"HMGB1",0,0,0,0,0,2,2,7,12,25,47,97,215,12.703222092371
"GPM6B",0,0,0,0,0,0,0,2,14,42,93,155,254,12.6692146027612
"TMEM88",0,0,0,0,1,2,8,14,21,27,35,54,75,12.6025025218243
"NECTIN4",0,0,0,0,0,0,0,2,12,39,83,159,276,12.5757767609078
"SNRPB",0,0,0,0,0,1,2,4,9,20,61,121,264,12.5738190563903
"RPL10A",0,0,0,0,0,0,0,9,27,57,74,84,109,12.5462690261539
"MAB21L2",0,0,0,0,1,2,9,12,17,26,34,53,83,12.5122035123343
"EBF2",0,0,0,1,1,1,4,10,14,25,41,65,107,12.5028890563004
"PTMA",0,0,0,0,0,0,1,4,13,31,70,119,210,12.5024971926977
"WNT1",0,0,0,1,1,1,5,13,21,28,37,49,81,12.4894698523285
"TSPAN13",0,0,0,0,0,0,0,0,12,49,94,177,319,12.4733497813933
"SINHCAF",0,0,0,0,0,0,0,2,12,36,79,153,266,12.463128921126
"TMEFF2",0,0,0,0,0,0,0,0,10,40,109,194,331,12.4582405722312
"LIMCH1",0,0,0,0,0,0,0,1,16,41,79,150,250,12.4330666477862
"FZD6",0,0,0,0,0,0,0,0,15,46,87,177,287,12.4252684160896
"ATAD2",0,0,0,0,0,0,2,8,14,29,60,94,144,12.4108091061244
"DIAPH3",0,0,0,0,0,0,1,5,16,44,66,100,124,12.3576397306139
"RPS9",0,0,0,0,0,0,0,7,30,56,65,81,98,12.3337660516681
"PYGL",0,0,0,0,0,0,0,1,10,47,80,144,268,12.3314619277006
"BUB1",0,0,0,0,0,0,2,7,15,39,63,86,104,12.3004003644136
"HDDC2",0,0,0,0,0,0,0,1,8,34,82,174,305,12.2932481976813
"DLGAP5",0,0,0,0,0,0,4,11,18,30,49,67,95,12.2494006726798
"CDH15",0,0,0,0,0,1,3,13,16,21,41,65,115,12.2285821034014
"ASF1B",0,0,0,0,0,0,1,4,20,35,61,89,135,12.2112066340746
"FEN1",0,0,0,0,0,0,2,6,14,27,51,88,155,12.1963754780108
"CHAF1A",0,0,0,0,0,0,3,7,15,28,46,81,133,12.1935010823322
"NACA",0,0,0,0,0,0,0,2,19,52,75,102,146,12.179192306844
"C20orf27",0,0,0,0,0,0,0,0,9,40,92,163,293,12.1401257518984
"RPL26",0,0,0,0,0,0,0,5,24,49,69,80,104,12.119625515129
"GSTP1",0,0,0,0,0,0,0,2,10,33,70,131,230,12.0934046482983
"SERPINI2",0,0,0,0,1,2,3,11,17,25,38,52,71,12.0887187589746
"IQCA1",0,0,0,0,0,0,0,0,9,44,84,157,279,12.0831229896783
"TIMP1",0,0,0,0,0,0,0,0,10,43,86,143,259,12.0237281948841
"EPHA5",0,0,0,0,1,1,3,9,14,19,35,71,97,12.0211206888669
"PPP1R13L",0,0,0,0,0,0,0,2,7,34,71,134,240,12.0133168792587
"FBXO25",0,0,0,0,0,0,0,0,11,42,79,140,266,12.0098902615091
"MID1",0,0,0,0,0,0,0,0,8,35,88,159,297,11.9974755877508
"BARX2",0,0,0,0,0,0,0,0,13,38,80,146,238,11.9902645172843
"DSG2",0,0,0,0,0,0,0,0,12,42,73,145,251,11.9863559498742
"SYDE2",0,0,0,0,0,0,0,0,9,34,86,162,277,11.984290632235
"SKA1",0,0,0,0,0,0,1,4,14,33,57,90,120,11.9252027453222
"SKA3",0,0,0,0,0,0,0,5,16,33,62,93,127,11.9133506952497
"NRG3",0,0,0,0,0,0,3,8,19,24,38,69,104,11.9107405710632
"LAMP2",0,0,0,0,0,0,0,0,12,33,72,146,257,11.8808434480637
"ATP2B2",0,0,0,0,1,1,4,6,10,23,32,67,105,11.8769972593003
"TRHDE",0,0,0,0,0,0,5,8,13,22,43,68,99,11.8764573737614
"C19orf33",0,0,0,0,0,0,0,1,8,32,68,135,240,11.8557332284976
"AL391650.1",0,0,0,0,1,1,4,11,17,23,34,48,66,11.851774900092
"FRMPD1",0,0,0,0,1,1,1,6,16,24,41,66,96,11.8386764371031
"PIMREG",0,0,0,0,0,0,1,4,13,32,57,81,123,11.8326644790321
"NCALD",0,0,0,0,0,0,0,0,7,40,81,146,262,11.8323899860862
"LIMA1",0,0,0,0,0,0,0,0,10,39,73,135,250,11.8298657429558
"IFITM1",0,0,0,0,0,0,1,1,4,24,73,146,249,11.8039903083894
"SNRPD1",0,0,0,0,0,0,0,1,8,29,65,134,247,11.7978122830412
"APLP2",0,0,0,0,0,0,0,0,7,28,83,150,286,11.7453771904457
"HEYL",0,0,0,0,0,0,0,1,5,29,75,144,248,11.7384372895196
"PAWR",0,0,0,0,0,0,0,1,8,28,67,133,219,11.714948869965
"ABRACL",0,0,0,0,0,0,0,1,9,33,61,120,210,11.7027084522717
"CDCA2",0,0,0,0,0,0,1,4,13,33,53,78,106,11.6900814182954
"SRRM3",0,0,0,0,0,0,2,7,14,29,35,71,101,11.6786796152281
